n_agents,n_families,panel,n,base_rate,auc_pr,lift,auroc,mean_disagreement
4,2,gpt-oss-20b+gpt-oss-120b+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.469,1.25,0.611,0.358
4,2,gpt-oss-20b+qwen3.6-27b+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.467,1.25,0.619,0.334
4,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+qwen3.6-35b-a3b+qwen3.6-plus,790,0.375,0.464,1.24,0.615,0.316
4,2,llama-3.1-8b-instruct+llama-4-maverick+qwen3.6-27b+qwen3.6-35b-a3b,790,0.375,0.463,1.24,0.614,0.321
4,3,llama-3.1-8b-instruct+gpt-oss-120b+qwen3.6-27b+qwen3.6-plus,789,0.375,0.464,1.24,0.608,0.348
4,3,llama-3.3-70b-instruct+llama-4-maverick+gpt-oss-120b+qwen3.6-plus,789,0.375,0.467,1.24,0.611,0.312
4,3,llama-3.1-8b-instruct+gpt-oss-20b+gpt-5.6-sol+qwen3.6-plus,788,0.376,0.463,1.23,0.597,0.352
4,3,llama-4-maverick+gpt-oss-20b+gpt-5.6-sol+qwen3.6-35b-a3b,788,0.376,0.464,1.23,0.612,0.348
4,3,llama-4-maverick+gpt-oss-20b+qwen3.6-27b+qwen3.6-35b-a3b,789,0.374,0.46,1.23,0.611,0.346
4,2,gpt-oss-20b+gpt-oss-120b+qwen3.6-27b+qwen3.6-35b-a3b,787,0.375,0.462,1.23,0.604,0.352
4,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+qwen3.6-27b+qwen3.6-plus,790,0.375,0.457,1.22,0.605,0.31
4,3,llama-3.1-8b-instruct+llama-4-maverick+gpt-oss-120b+qwen3.6-plus,790,0.375,0.457,1.22,0.591,0.325
4,3,llama-3.1-8b-instruct+gpt-oss-120b+qwen3.6-27b+qwen3.6-35b-a3b,788,0.376,0.458,1.22,0.601,0.344
4,3,llama-3.1-8b-instruct+gpt-oss-120b+qwen3.6-35b-a3b+qwen3.6-plus,789,0.375,0.46,1.22,0.603,0.352
4,2,llama-3.1-8b-instruct+qwen3.6-27b+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.457,1.22,0.611,0.323
4,3,llama-3.3-70b-instruct+gpt-oss-20b+gpt-oss-120b+qwen3.6-plus,790,0.375,0.457,1.22,0.589,0.34
4,3,llama-3.3-70b-instruct+gpt-oss-20b+gpt-5.6-sol+qwen3.6-35b-a3b,788,0.376,0.457,1.22,0.602,0.343
4,3,llama-3.3-70b-instruct+gpt-oss-20b+qwen3.6-27b+qwen3.6-35b-a3b,789,0.374,0.458,1.22,0.601,0.341
4,3,llama-3.3-70b-instruct+gpt-oss-120b+gpt-5.6-sol+qwen3.6-35b-a3b,789,0.375,0.457,1.22,0.611,0.329
4,2,gpt-oss-20b+gpt-oss-120b+gpt-5.6-sol+qwen3.6-35b-a3b,790,0.375,0.457,1.22,0.598,0.359
4,3,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-5.6-sol+qwen3.6-35b-a3b,788,0.376,0.456,1.21,0.603,0.303
4,2,llama-3.3-70b-instruct+gpt-oss-20b+gpt-oss-120b+gpt-5.6-sol,787,0.376,0.457,1.21,0.578,0.309
4,3,llama-4-maverick+gpt-oss-20b+gpt-oss-120b+qwen3.6-plus,790,0.375,0.452,1.21,0.586,0.342
